Activity,Dipole y ,HOMO eigenvalue ,E-state keys (sums): S_dssC ,Heat of formation ,E-state keys (sums): S_sCH3 ,Kappa-3 ,Molecular flexibility ,Shadow area: YZ plane ,Total dipole ,Chi (3): cluster ,E-state keys (sums): S_aasC ,Total energy ,Shadow area : XY plane ,Chi (2) ,Chi (2)-1,Bond energy ,Molecular density ,Shadow length: LZ ,Torsion energy ,Shadow ratio 
1.33,-1.321,-7.78,2.911,517.1,3.656,6.992,7.562,61.51,3.127,2.018,3.701,619.89,0.6484,13.237,10.42,480.67,1.167,9.1888,10.302,1.8149
1.21,-5.655,-7.65,-0.052,410.69,1.836,6.353,6.505,60.26,5.879,1.133,2.796,466.16,0.4834,9.652,7.257,404.75,1.157,7.8882,4.315,1.8052
1.42,-0.273,-7.81,-0.09,481.53,4.138,6.353,6.387,53.25,0.778,1.133,4.814,510.82,0.6726,9.652,7.313,394.74,1.136,8.194,8.006,1.6967
1.7,2.896,-7.76,1.117,28.81,3.659,6.533,7.454,64.3,8.009,1.852,2.827,84.72,0.5595,12.938,9.196,10.33,1.271,8.2702,15.664,1.8522
1.48,1.783,-7.7,-0.109,485.32,1.834,6.91,6.912,68.65,4.866,1.121,2.039,1044.3,0.5369,9.983,7.472,456.8,1.139,9.55,7.154,1.3448
1.35,-1.298,-7.41,0.241,373.92,3.991,5.786,6.131,46.67,8.856,1.132,0,477.89,0.5024,9.22,7.124,432.09,1.137,8.1701,0.686,2.4195
1.39,-1.672,-7.55,1.579,348.5,4.366,4.776,6.178,49.6,2.591,1.591,2.778,514.93,0.7337,11.053,8.783,384.3,1.12,8.3787,2.686,1.9648
1.78,-3.153,-7.64,0.066,291.25,6.348,7.705,7.531,52.94,4.344,1.207,2.376,334.7,0.5924,8.45,7.491,309.17,1.092,8.6388,1.941,1.6796
1.72,-0.84,-7.64,-0.738,340.37,1.29,6.817,6.267,46.69,7.294,0.947,0.595,416.6,0.6755,7.518,5.484,389.25,1.225,7.7509,13.852,1.5276
1.52,1.243,-8.04,2.376,238.09,3.534,8,7.917,66.41,4.214,3.579,3.388,526.62,0.6118,15.194,11.362,362.89,1.225,9.3971,12.386,1.732
1.61,-0.947,-8.1,-0.323,128.35,1.645,7.51,6.774,55.09,3.826,2.694,1.317,311.69,0.5758,11.609,8.199,276.25,1.233,7.0977,2.004,2.1449
1.59,2.941,-7.88,-0.294,-126.79,4.018,7.51,6.661,56.33,4.284,2.694,4.284,109.44,0.6953,11.609,8.255,7.05,1.284,8.2473,15.733,1.5215
