Activity,Total energy ,Electronic energy ,Heat of formation ,HOMO eigenvalue ,LUMO eigenvalue ,Molecular surface area ,Total dipole ,Dipole x ,Dipole y ,Mean polarizability ,Total molecular mass ,Atom count ,Element count ,Rotatable bonds ,Hydrogen bond acceptor ,AlogP ,AlogP98 ,Molecular refractivity ,Molecular flexibility ,Balaban index JX ,Balaban index JY ,Wiener index ,Zagreb index ,Kappa-1 ,Kappa-2 ,Kappa-3 ,Kappa-1 (alpha modified) ,Kappa-2 (alpha modified) ,Kappa-3 (alpha modified) ,Subgraph counts (0): path ,Subgraph counts (1): path ,Subgraph counts (2): path ,Subgraph counts (3): path ,Subgraph counts (3): cluster ,Chi (0) ,Chi (1) ,Chi (2) ,Chi (3): path ,Chi (3): cluster ,Chi (0),Chi (1),Chi (2)-1,Chi (3): path,Chi (3): cluster-1,Edge adjacency/magnitude ,Edge distance/magnitude ,Vertex adjacency/equality ,Vertex adjacency/magnitude ,Vertex distance/equality ,Vertex distance/magnitude ,Atomic composition (total) ,E-state keys (sums): S_sCH3 ,E-state keys (sums): S_ssCH2 ,E-state keys (sums): S_aaCH ,E-state keys (sums): S_dssC ,E-state keys (sums): S_aasC ,E-state keys (sums): S_dO ,Molecular area,Molecular volume,Molecular density ,Radius of gyration ,Ellipsoidal volume ,Shadow area: XY plane ,Shadow area: YZ plane ,Shadow area: ZX plane ,Shadow area fraction: XY plane ,Shadow area fraction: YZ plane ,Shadow area fraction: ZX plane ,Shadow length: LX ,Shadow length: LY ,Shadow length: LZ ,Shadow ratio ,Connolly surface area ,Connolly surface occupied volume ,Solvent surface area,Solvent surface occupied volume,Total energy ,Valence energy (diag. terms) ,Bond energy ,Angle energy ,Torsion energy ,Inversion energy 
1.32634,-5244.7,-42446.4,517.1,-7.78,-2.05,508.06,3.127,1.815,-1.321,55.1492,501.48,54,24,10,4,4.328,4.688,124.902,7.562,1.808,1.85,3001,156,25.62,12.459,6.992,22.67,10.34,5.574,31,33,45,58,10,22.38,14.901,13.237,10.583,2.018,19.935,13.462,10.42,7.365,1.115,584.27,10649.1,346.9,398.9,3756.6,9227.6,92.683,3.656,2.448,11.432,2.911,3.701,24.16,506.22,429.79,1.167,4.702,971.63,119.61,61.51,87.96,0.6484,0.6052,0.574,16.6769,11.0615,9.1888,1.8149,423.97,461.16,692.71,1256.07,619.89,573.82,480.67,80.205,10.302,2.64
1.21219,-4040.2,-28583,410.69,-7.65,-1.14,404.94,5.879,0.395,-5.655,40.7648,389.33,43,19,9,3,3.605,4.209,99.94,6.505,1.99,2.033,1591,114,20.314,10.871,6.353,17.68,8.83,4.915,24,25,32,40,6,17.364,11.63,9.652,7.936,1.133,15.172,9.834,7.257,5.063,0.51,384,5585.4,245.2,282.2,2178.1,5085.7,69.908,1.836,2.264,13.539,-0.052,2.796,12.195,403.25,336.37,1.157,4.148,747.28,83.05,60.26,82.76,0.4834,0.6332,0.7368,14.2402,12.0649,7.8882,1.8052,345.66,357.78,593.99,1026.03,466.16,421.15,404.75,11.953,4.315,0.129
1.42325,-3788.7,-29514.6,481.53,-7.81,-1.34,388.59,0.778,-0.674,-0.273,43.0093,386.36,45,19,9,2,3.472,4.339,104.032,6.387,2.037,2.079,1507,114,20.314,10.871,6.353,17.552,8.733,4.848,24,25,32,40,6,17.364,11.63,9.652,7.943,1.133,15.64,9.913,7.313,5.124,0.537,384,5608,245.2,282.2,2105.2,5102.6,69.429,4.138,2.304,13.603,-0.09,4.814,12.429,385.43,340.08,1.136,3.868,608.96,91.31,53.25,72.72,0.6726,0.6655,0.6383,13.9027,9.7652,8.194,1.6967,328.12,362.77,557.35,990.44,510.82,411.44,394.74,8.618,8.006,0.074
1.69548,-5345.7,-45436.6,28.81,-7.76,-0.97,470.81,8.009,-5.88,2.896,47.6756,502.86,53,23,11,5,2.084,3.614,123.955,7.454,1.834,1.9,2854,156,25.62,12.459,6.533,22.543,10.251,5.134,31,33,45,60,10,22.38,14.956,12.938,10.854,1.852,19.744,12.163,9.196,6.54,0.851,584.27,10662.1,346.9,398.9,3664.2,9241.9,91.921,3.659,2.846,12.744,1.117,2.827,26.024,470.71,395.61,1.271,4.155,946.7,100.15,64.3,83.13,0.5595,0.6655,0.6562,15.3183,11.6844,8.2702,1.8522,385.25,424.75,640.65,1155.43,84.72,87.97,10.33,61.581,15.664,0.396
1.48287,-4014.5,-30835.5,485.32,-7.7,-1.3,418.67,4.866,-2.321,1.783,43.5698,399.35,45,20,10,3,3.002,3.718,105.163,6.912,1.973,2.009,1752,118,21.302,11.658,6.91,18.409,9.386,5.287,25,26,33,41,6,18.071,12.13,9.983,8.296,1.121,15.78,10.183,7.472,5.17,0.517,398.93,6128.8,258.3,296.4,2365.6,5600.8,70.256,1.834,2.243,16.349,-0.109,2.039,24.81,417.42,350.67,1.139,3.802,782.26,80.35,68.65,82.47,0.5369,0.6169,0.6724,12.8426,11.6538,9.55,1.3448,348.14,382.81,573.26,1038.51,1044.3,478.33,456.8,14.137,7.154,0.24
1.35411,-3762.8,-25295.7,373.92,-7.41,-1.08,407.24,8.856,7.148,-1.298,39.9153,375.33,43,18,9,3,2.53,4.853,97.501,6.131,2.028,2.075,1414,110,19.326,10.096,5.786,16.981,8.305,4.542,23,24,31,39,6,16.656,11.151,9.22,7.744,1.132,15.048,9.585,7.124,5.056,0.534,369.16,5079.4,232.2,268.1,1981.4,4603.4,67.832,3.991,2.575,0,0.241,0,12.346,408.29,330.04,1.137,4.885,823.42,89.23,46.67,95.85,0.5024,0.6358,0.5935,19.7677,8.9852,8.1701,2.4195,360.77,348.5,633.18,1052.95,477.89,441.4,432.09,8.618,0.686,0.015
1.38917,-4451.5,-36646.8,348.5,-7.55,-1.09,457.43,2.591,0.862,-1.672,46.9985,432.43,54,21,10,3,1.432,3.794,112.285,6.178,1.751,1.803,1931,138,21.703,10.156,4.776,19.442,8.579,3.863,27,29,40,56,10,19.278,13.147,11.053,9.643,1.591,17.774,11.761,8.783,6.727,0.831,505.75,7904,292.1,339.8,2679.2,6708.2,83.388,4.366,6.891,2.228,1.579,2.778,12.638,457.22,385.97,1.12,4.678,1003.27,113.44,49.6,78.62,0.7337,0.6302,0.57,16.4624,9.3929,8.3787,1.9648,382.25,413.03,639.97,1138.58,514.93,445.95,384.3,58.725,2.686,0.235
1.7839,-3374.1,-24337.9,291.25,-7.64,-1.12,398.85,4.344,2.918,-3.153,37.5971,351.35,45,17,10,2,3.371,3.964,93.379,7.531,2.399,2.434,1162,94,19.048,10.68,7.705,17.232,9.178,6.442,21,21,26,29,5,15.665,10.041,8.45,6.1,1.207,14.769,9.485,7.491,4.609,0.826,296.42,3714.7,200.1,226.5,1643.6,3719.1,65.607,6.348,3.529,8.352,0.066,2.376,12.068,397.38,321.8,1.092,4.297,773.14,90.19,52.94,74.15,0.5924,0.584,0.5915,14.5098,10.4921,8.6388,1.6796,339.33,344.48,584.26,1002.41,334.7,323.24,309.17,12.094,1.941,0.032
1.71684,-3359.9,-21355.3,340.37,-7.64,-1.4,320.41,7.294,-5.872,-0.84,31.1305,325.23,33,13,9,4,0.785,1.584,76.596,6.267,2.462,2.568,824,84,17.053,9.834,6.817,14.869,8.008,5.319,19,19,23,26,4,14.088,9.147,7.518,5.236,0.947,12.224,7.782,5.484,3.463,0.265,254.08,2946.5,175.3,199.4,1256.7,2949.1,58.301,1.29,2.098,6.59,-0.738,0.595,22.855,318.12,265.55,1.225,3.466,496.98,73.6,46.69,56.91,0.6755,0.6547,0.6201,11.8399,9.2017,7.7509,1.5276,266.53,284.39,471.04,805.65,416.6,415.44,389.25,11.965,13.852,0.368
1.51587,-6498.8,-51557.3,238.09,-8.04,-2.03,534.55,4.214,1.209,1.243,53.1396,544.46,56,24,9,6,5.966,6.792,125.512,7.917,1.718,1.775,3645,170,27.585,12.301,8,24.923,10.482,6.646,33,35,50,60,14,24.173,15.548,15.194,10.906,3.579,20.622,13.805,11.362,7.88,1.597,664.39,12178,374.8,429,4357.7,10648.1,101.131,3.534,0.595,11.061,2.376,3.388,24.122,532.71,444.29,1.225,4.698,1035.54,109.18,66.41,102.35,0.6118,0.6445,0.6692,16.2759,10.9654,9.3971,1.732,431.33,481.53,707.19,1291.27,526.62,458.4,362.89,80.327,12.386,2.797
